;Title;Producer;Brand;Vintage;Wine Type;Colour;Country;Region;Appellation;Sweetness;Closure;Alcohol;Body;Oak;Grapes
451;Rutini, Single Vineyard Gualtallary Cabernet Franc, Uco Valley, 2017;Rutini;Single Vineyard Gualtallary Cabernet Franc;2017;Still;Red;Argentina;Mendoza;Uco Valley;Dry;Natural Cork;12.50%;Full;Lightly Oaked;['100% Cabernet Franc']
452;Bodegas Salentein, Numina Cabernet Franc, Uco Valley, Los Árboles, Mendoza, 2017;Bodegas Salentein;Numina Cabernet Franc;2017;Still;Red;Argentina;Mendoza;Uco Valley;Dry;Natural Cork;14.50%;Full;Oaked;['100% Cabernet Franc']
453;Bodega Aleanna, Gran Enemigo Single Vineyard Agrelo Cabernet Franc, Mendoza, Argentina, 2016;Bodega Aleanna;Gran Enemigo Single Vineyard Agrelo Cabernet Franc;2016;Still;Red;Argentina;Mendoza;Luján de Cuyo;Dry;Natural Cork;13.70%;Full;Oaked;['85% Cabernet Franc', '15% Malbec']
454;Luigi Bosca, Gala 4 Cabernet Franc, Las Compuertas, 2017;Luigi Bosca;Gala 4 Cabernet Franc;2017;Still;Red;Argentina;Mendoza;Las Compuertas;Dry;Natural Cork;13.90%;Full;Oaked;['100% Cabernet Franc']
455;El Esteco, Fincas Notables Cabernet Franc Cuartel #5, Salta, Argentina, 2016;El Esteco;Fincas Notables Cabernet Franc Cuartel #5;2016;Still;Red;Argentina;Salta;Cafayate Valley;Dry;Natural Cork;14.50%;Full;Oaked;['100% Cabernet Franc']
456;Trapiche, Estación 1883 Cabernet Franc, Mendoza, 2018;Trapiche;Estación 1883 Cabernet Franc;2018;Still;Red;Argentina;Mendoza;;Dry;Natural Cork;14.00%;Medium;Lightly Oaked;['100% Cabernet Franc']
457;Bodega Aleanna, El Enemigo Cabernet Franc, Uco Valley, Mendoza, 2017;Bodega Aleanna;El Enemigo Cabernet Franc;2017;Still;Red;Argentina;Mendoza;Uco Valley;Dry;Natural Cork;13.50%;Medium;Oaked;['90% Cabernet Franc', '10% Malbec']
458;Zorzal, Eggo Franco Cabernet Franc, Uco Valley, Gualtallary, 2018;Zorzal;Eggo Franco Cabernet Franc;2018;Still;Red;Argentina;Mendoza;Uco Valley;Dry;Natural Cork;14.50%;Medium;Unoaked;['100% Cabernet Franc']
459;Catena Zapata, DV Catena Tinto Histórico Cabernet Franc, Uco Valley, Mendoza, 2018;Catena Zapata;DV Catena Tinto Histórico Cabernet Franc;2018;Still;Red;Argentina;Mendoza;Uco Valley;Dry;Natural Cork;13.30%;Full;Oaked;['100% Cabernet Franc']
460;Viña Cobos, Bramare Chañares Estate Cabernet Franc, Uco Valley, Mendoza, 2017;Viña Cobos;Bramare Chañares Estate Cabernet Franc;2017;Still;Red;Argentina;Mendoza;Uco Valley;Dry;Natural Cork;14.70%;Full;Oaked;['100% Cabernet Franc']
461;Susana Balbo, BenMarco Cabernet Franc, Uco Valley, Paraje Altamira, Mendoza, 2018;Susana Balbo;BenMarco Cabernet Franc;2018;Still;Red;Argentina;;;;;;;;
462;Bodega Norton, Altura Cabernet Franc, Uco Valley, Paraje Altamira, Mendoza, 2018;Bodega Norton;Altura Cabernet Franc;2018;Still;Red;Argentina;Mendoza;Uco Valley;Dry;Natural Cork;14.50%;Full;Oaked;['100% Cabernet Franc']
463;Pyros Wines, Special Blend, Pedernal Valley, 2014;Pyros Wines;Special Blend;2014;Still;Red;Argentina;Pedernal Valley;Pedernal Valley;Dry;Cork;14.00%;Full;Oaked;['8% Cabernet Sauvignon', '70% Malbec', '22% Syrah / Shiraz']
464;Bira Wines, Brunetto, Uco Valley, Mendoza, Argentina, 2018;Bira Wines;Brunetto;2018;Still;Red;Argentina;Mendoza;Uco Valley;Dry;Cork;14.00%;Medium;Oaked;['20% Merlot', '70% Sangiovese', '10% Syrah / Shiraz']
465;Viña Cobos, Volturno, Perdriel, Mendoza, Argentina, 2017;Viña Cobos;Volturno;2017;Still;Red;Argentina;Mendoza;Perdriel;Dry;;14.00%;;;['Cabernet Franc', 'Cabernet Sauvignon', 'Malbec']
466;Zuccardi, Tito Zuccardi, Uco Valley, Paraje Altamira, 2018;Zuccardi;Tito Zuccardi;2018;Still;Red;Argentina;Mendoza;Uco Valley;Dry;;14.60%;;;['Cabernet Franc', 'Malbec']
467;Riccitelli, Riccitelli & Father, Mendoza, Argentina, 2017;Riccitelli;Riccitelli & Father;2017;Still;Red;Argentina;Mendoza;;Dry;;14.50%;;;['Cabernet Franc', 'Malbec']
468;Francisco Puga y Familia, L’Amitié Grand Vin, Calchaqui, Salta, Argentina, 2018;Francisco Puga y Familia;L’Amitié Grand Vin;2018;Still;Red;Argentina;Salta;Calchaquí Valley;Dry;;14.10%;;;['Cabernet Franc', 'Malbec', 'Merlot']
469;Ver Sacrum, GSM, Uco Valley, Los Chacayes, Mendoza, 2017;Ver Sacrum;GSM;2017;Still;Red;Argentina;Mendoza;Uco Valley;Dry;;13.30%;;;['Mourvèdre', 'Syrah / Shiraz', 'Grenache']
470;Pulenta Estate, Gran Corte VII, Luján de Cuyo, 2017;Pulenta Estate;Gran Corte VII;2017;Still;Red;Argentina;Mendoza;Luján de Cuyo;Dry;;14.50%;;;['Cabernet Sauvignon', 'Malbec', 'Merlot']
471;Norton, Gernot Langes, Luján de Cuyo, Mendoza, 2016;Norton;Gernot Langes;2016;Still;Red;Argentina;Mendoza;Luján de Cuyo;Dry;;14.90%;;;['Cabernet Franc', 'Cabernet Sauvignon', 'Malbec']
472;Doña Paula, Altitude 1350, Uco Valley, Mendoza, 2017;Doña Paula;Altitude 1350;2017;Still;Red;Argentina;Mendoza;Uco Valley;Dry;;14.00%;;;['Cabernet Franc', 'Malbec']
473;PerSe, La Craie, Gualtallary, Tupungato, Mendoza, 2017;PerSe;La Craie;2017;Still;Red;Argentina;Gualtallary, Tupungato;;Dry;Cork;14.50%;Medium;Lightly Oaked;['14% Cabernet Franc', '86% Malbec']
474;PerSe, Iubileus, Gualtallary, Tupungato, Mendoza, 2015;PerSe;Iubileus;2015;Still;Red;Argentina;Gualtallary, Tupungato;;Dry;Cork;14.50%;Medium;Lightly Oaked;['3% Cabernet Franc', '97% Malbec']
475;PerSe, Inseparable, Gualtallary, Tupungato, Mendoza, 2018;PerSe;Inseparable;2018;Still;Red;Argentina;Gualtallary, Tupungato;;Dry;Cork;14.00%;Medium;Lightly Oaked;['100% Malbec']
476;PerSe, Volare del Camino, Gualtallary, Tupungato, 2016;PerSe;Volare del Camino;2016;Still;Red;Argentina;Gualtallary, Tupungato;;Dry;Cork;14.50%;Medium;Lightly Oaked;['100% Malbec']
477;Pulenta Estate, La Flor Malbec, Mendoza, Argentina, 2018;Pulenta Estate;La Flor Malbec;2018;Still;Red;Argentina;Mendoza;;Dry;;14.00%;;Oaked;['100% Malbec']
478;Terrazas de los Andes, Reserva Malbec, Mendoza, 2017;Terrazas de los Andes;Reserva Malbec;2017;Still;Red;Argentina;Mendoza;;Dry;Cork;14.00%;Full;Oaked;['100% Malbec']
479;Catena, DV Catena, Mendoza, Argentina, 2018;Catena;DV Catena;2018;Still;Red;Argentina;Mendoza;;Dry;Cork;13.50%;Full;Oaked;['100% Malbec']
480;Bodegas Salentein, Barrel Selection Malbec, Uco Valley;Bodegas Salentein;Barrel Selection Malbec;2018;Still;Red;Argentina;Uco Valley;Uco Valley;Dry;Cork;14.00%;Full;Oaked;['100% Malbec']
481;Cadus, Single Vineyard Finca Las Torcazas Malbec, Luján de Cuyo, Argentina, 2016;Cadus;Single Vineyard Finca Las Torcazas Malbec;2016;Still;Red;Argentina;Mendoza;Luján de Cuyo;Dry;;14.00%;;;['Malbec']
482;Viña Cobos, Bramare Marchiori Estate Malbec, Luján de Cuyo 2016;Viña Cobos;Bramare Marchiori Estate Malbec;2016;Still;Red;Argentina;Mendoza;Luján de Cuyo;Dry;Natural Cork;14.00%;Full;Oaked;['100% Malbec']
483;Altos Las Hormigas, Gualtallary Malbec, Uco Valley, 2014;Altos Las Hormigas;Gualtallary Malbec;2014;Still;Red;Argentina;Uco Valley;Uco Valley;Dry;Cork;14.50%;Full;;['Malbec']
484;Doña Paula, 1350, Uco Valley, Gualtallary, Mendoza, 2017;Doña Paula;1350;2017;Still;Red;Argentina;Mendoza;Uco Valley;Dry;;14.00%;;;['Cabernet Franc', 'Merlot']
485;Zuccardi, Q Tempranillo, Mendoza, Argentina, 2014;Zuccardi;Q Tempranillo;2014;Still;Red;Argentina;Mendoza;;Dry;Cork;14.00%;Full;Oaked;['100% Tempranillo']
486;Catena, Finest The Trilogy Malbec, Mendoza, Argentina, 2017;Catena;Finest The Trilogy Malbec;2017;Still;Red;Argentina;Mendoza;;Dry;Cork;13.50%;;;['Malbec']
487;Familia Cassone, Obra Prima Malbec, Luján de Cuyo, 2015;Familia Cassone;Obra Prima Malbec;2015;Still;Red;Argentina;Mendoza;Luján de Cuyo;Dry;;14.50%;;;['Malbec']
488;Andeluna, Altitud Malbec, Uco Valley, Mendoza, 2016;Andeluna;Altitud Malbec;2016;Still;Red;Argentina;Mendoza;Uco Valley;Dry;;14.00%;;;['Malbec']
489;Terrazas de los Andes, Parcel No10W Los Cerezos Malbec, Las Compuertas, Argentina, 2017;Terrazas de los Andes;Parcel No10W Los Cerezos Malbec;2017;Still;Red;Argentina;Mendoza;Las Compuertas;Dry;;13.70%;;;['Malbec']
490;Durigutti, Proyecto Las Compuertas Malbec 1914, Las Compuertas, Argentina, 2017;Durigutti;Proyecto Las Compuertas Malbec 1914;2017;Still;Red;Argentina;Mendoza;Las Compuertas;Dry;;13.50%;;;['25% Cabernet Franc', '45% Malbec']
491;Casarena, Owen’s Vineyard Cabernet Sauvignon, Luján de Cuyo, Argentina, 2017;Casarena;Owen’s Vineyard Cabernet Sauvignon;2017;Still;Red;Argentina;Mendoza;Luján de Cuyo;Dry;;14.00%;;;['Cabernet Sauvignon']
492;Finca Adalgisa, Malbec, Luján de Cuyo, Mendoza, 2013;Finca Adalgisa;Malbec;2013;Still;Red;Argentina;Mendoza;Luján de Cuyo;Dry;;14.20%;;;['Malbec']
493;Mendel, La Primera Revancha Chenin Blanc, Luján de Cuyo, Argentina, 2019;Mendel;La Primera Revancha Chenin Blanc;2019;Still;White;Argentina;Mendoza;Luján de Cuyo;Dry;;13.70%;;;['Chenin Blanc']
