;Title;Producer;Vintage;Wine Type;Colour;Country;Region;Appellation;Sweetness;Closure;Alcohol;Body;Oak;Grapes;Brand
36;Château Haut-Bailly, Pessac-Léognan, Cru Classé de Graves, Bordeaux, 2020;Château Haut-Bailly;2020;Still;Red;France;Bordeaux;Pessac-Léognan;Dry;Cork;14.30%;Full;Oaked;['3% Cabernet Franc', '52% Cabernet Sauvignon', '42% Merlot'];
37;Château Léoville-Las Cases, St-Julien, 2ème Cru Classé, Bordeaux, 2020;Château Léoville-Las Cases;2020;Still;Red;France;Bordeaux;St-Julien;Dry;Cork;;Full;Oaked;['11% Cabernet Franc', '81% Cabernet Sauvignon', '8% Merlot'];
38;Domaine de Leos, Cuvée Augusta, Méditerranée, Provence, France 2022;Domaine de Leos;2022;Still;Rosé;France;Provence;Méditérranée;Dry;Cork;12.50%;Medium;Unoaked;['20% Bourboulenc', '20% Rolle', '60% Grenache'];Cuvée Augusta
39;Fleur de Miraval, Fleur de Miraval (ER3), Champagne, France;Fleur de Miraval;;Sparkling;Rosé;France;Champagne;;Brut;Cork;12.50%;Medium;Lightly Oaked;['75% Chardonnay', '25% Pinot Noir / Pinot Nero'];Fleur de Miraval (ER3)
40;Cave de Cairanne, La Réserve, Côtes du Rhône Villages Plan de Dieu, Rhône, France 2020;Cave de Cairanne;2020;Still;Red;France;Rhône;Côtes du Rhône Villages;Dry;Cork;;Full;Unoaked;['Grenache'];La Réserve
41;Cave de Cairanne, Le Chêne Noir, Côtes du Rhône Villages, Rhône, France 2021;Cave de Cairanne;2021;Still;Red;France;Rhône;Côtes du Rhône Villages;Dry;Cork;14.00%;Full;Unoaked;['Syrah / Shiraz', 'Carignan / Cariñena', 'Grenache'];Le Chêne Noir
42;Cave de Cairanne, Les Voconces, Cairanne, Rhône, France 2020;Cave de Cairanne;2020;Still;Red;France;Rhône;Cairanne;Dry;Cork;15.00%;Full;Unoaked;['Mourvèdre', 'Grenache'];Les Voconces
43;Cave de Cairanne, Grande Réserve, Cairanne, Rhône, France 2021;Cave de Cairanne;2021;Still;Red;France;Rhône;Cairanne;Dry;Cork;;Full;Unoaked;['Mourvèdre', 'Syrah / Shiraz', 'Grenache'];Grande Réserve
44;Cave de Cairanne, Sans Soufre Ajouté, Cairanne, Rhône, France 2021;Cave de Cairanne;2021;Still;Red;France;Rhône;Cairanne;Dry;Cork;14.00%;Medium;Unoaked;['Mourvèdre', 'Syrah / Shiraz', 'Grenache'];Sans Soufre Ajouté
45;Bernard Fouquet, Cuvée de Silex, Vouvray, Loire, France 2021;Bernard Fouquet;2021;Still;White;France;Loire;Vouvray;Off-Dry;Screwcap;12.00%;Medium;;['100% Chenin Blanc'];Cuvée de Silex
46;Pardon & Fils, Les Mouilles, Juliénas, Beaujolais, France 2021;Pardon & Fils;2021;Still;Red;France;Burgundy;Beaujolais;Dry;Natural Cork;13.00%;Medium;;['100% Gamay'];Les Mouilles
47;Department 66, Pharaon, Côtes Catalanes, Languedoc-Roussillon, France 2019;Department 66;2019;Still;Red;France;Languedoc-Roussillon;Côtes Catalanes;Dry;Cork;15.50%;Full;Oaked;['40% Syrah / Shiraz', '60% Grenache'];Pharaon
48;L'Usine Cellars, Manqué, Mazis-Chambertin Grand Cru, Burgundy, France 2017;L'Usine Cellars;2017;Still;Red;France;Burgundy;Mazis-Chambertin Grand Cru;Dry;Cork;13.70%;Medium;Oaked;['100% Pinot Noir / Pinot Nero'];Manqué
49;Department 66, Others, Côtes Catalanes, Languedoc-Roussillon, France 2018;Department 66;2018;Still;Red;France;Languedoc-Roussillon;Côtes Catalanes;Dry;Cork;15.50%;Full;Lightly Oaked;['Syrah / Shiraz', 'Carignan / Cariñena', '65% Grenache'];Others
50;Department 66, D66, Côtes Catalanes, Languedoc-Roussillon, France 2018;Department 66;2018;Still;Red;France;Languedoc-Roussillon;Côtes Catalanes;Dry;Cork;15.50%;Full;Lightly Oaked;['15% Syrah / Shiraz', '85% Grenache'];D66
51;Le Dôme, St-Émilion, Grand Cru, Bordeaux, France, 2019;Le Dôme;2019;Still;Red;France;Bordeaux;St-Émilion;Dry;Cork;14.00%;Full;Oaked;['20% Cabernet Franc', '80% Merlot'];
