;Title;Producer;Brand;Vintage;Wine Type;Colour;Country;Region;Appellation;Sweetness;Closure;Alcohol;Body;Oak;Grapes
38;Sierra Cantabria, Reserva, Rioja, Spain 2015;Sierra Cantabria;Reserva;2015;Still;Red;Spain;Northern Spain;Rioja;Dry;Cork;14.00%;Full;;['Tempranillo']
39;Muga, Prado Enea Gran Reserva, Rioja, Spain 2015;Muga;Prado Enea Gran Reserva;2015;Still;Red;Spain;Northern Spain;Rioja;Dry;Cork;14.50%;Full;;['Grenache / Garnacha', 'Tempranillo']
40;Bodegas Lan, Reserva, Rioja, Spain 2016;Bodegas Lan;Reserva;2016;Still;Red;Spain;Northern Spain;Rioja;Dry;Cork;13.50%;Medium;;['Mazuelo', 'Tempranillo']
41;Albamar, Sesenta e Nova Arrobas, Rías Baixas, Spain 2020;Albamar;Sesenta e Nova Arrobas;2020;Still;White;Spain;Rías Baixas;;;;;;;
42;Fillaboa, Selección Finca Monte Alto, Rías Baixas, Spain 2019;Fillaboa;Selección Finca Monte Alto;2019;Still;White;Spain;Rías Baixas;Rías Baixas;Dry;Cork;13.00%;Medium;Unoaked;['100% Albariño']
43;Pazo de Señoráns, Selección de Añada, Rías Baixas, Spain 2012;Pazo de Señoráns;Selección de Añada;2012;Still;White;Spain;Rías Baixas;Rías Baixas;Dry;Cork;12.50%;Medium;Unoaked;['100% Albariño']
44;Forjas del Salnes, Goliardo Tintos de Mar, Rías Baixas, Spain 2020;Forjas del Salnes;Goliardo Tintos de Mar;2020;Still;Red;Spain;Rías Baixas;Rías Baixas;Dry;Cork;12.00%;Light;Lightly Oaked;['10% Sousão', '70% Caiño', '10% Espadeiro Tinto']
45;Granbazán, Etiqueta Ambar, Rías Baixas, Rías Baixas, 2021;Granbazán;Etiqueta Ambar;2021;Still;White;Spain;Rías Baixas;Rías Baixas;Dry;Cork;12.90%;Medium;Unoaked;['100% Albariño']
46;Zarate, El Palomar, Rías Baixas, Rías Baixas, Spain, 2020;Zarate;El Palomar;2020;Still;White;Spain;Rías Baixas;Rías Baixas;Dry;Cork;13.00%;Medium;Lightly Oaked;['100% Albariño']
47;Adega Pombal a Lanzada, As Bateas, Rías Baixas, Spain, 2015;Adega Pombal a Lanzada;As Bateas;2015;Still;White;Spain;Rías Baixas;;Dry;Cork;12.00%;Medium;Unoaked;['100% Albariño']
48;Bodegas del Palacio de Fefiñanes, Albariño, Rías Baixas 2021;Bodegas del Palacio de Fefiñanes;Albariño;2021;Still;White;Spain;Rías Baixas;Rías Baixas;Dry;Cork;12.50%;Medium;Unoaked;['100% Albariño']
49;Santiago Roma, Albariño, Rías Baixas, Rías Baixas, 2021;Santiago Roma;Albariño;2021;Still;White;Spain;Rías Baixas;Rías Baixas;Dry;Cork;12.50%;Medium;Unoaked;['100% Albariño']
50;Bodegas Fulcro, A Padreira Albariño, Rías Baixas, 2021;Bodegas Fulcro;A Padreira Albariño;2021;Still;White;Spain;Rías Baixas;Rías Baixas;Dry;Cork;12.50%;Medium;Unoaked;['100% Albariño']
51;Bodegas Tajinaste, Listân Negro Tradiciónal, Tenerife, Spain 2020;Bodegas Tajinaste;Listân Negro Tradiciónal;2020;Still;Red;Spain;The Islands;Tenerife;Dry;Cork;13.00%;Light;Lightly Oaked;['100% Listán Negro']
52;Bodegas Viñátigo, Vijariego Blanco, Tenerife, Spain 2021;Bodegas Viñátigo;Vijariego Blanco;2021;Still;White;Spain;The Islands;Tenerife;Dry;Cork;13.50%;Light;Lightly Oaked;['100% Vijariego Blanco']
53;Suertes del Marques, Vidonia, Tenerife, The Islands, Spain 2019;Suertes del Marques;Vidonia;2019;Still;White;Spain;The Islands;Tenerife;Dry;Cork;12.00%;Light;Lightly Oaked;['100% Listán Blanco']
54;Suertes del Marques, Trenzado, Tenerife, The Islands, Spain 2020;Suertes del Marques;Trenzado;2020;Still;White;Spain;The Islands;Tenerife;Dry;Cork;12.00%;Light;Lightly Oaked;['100% Listán Blanco']
55;El Grifo, Tinto Ariana, Lanzarote, The Islands, Spain, 2019;El Grifo;Tinto Ariana;2019;Still;Red;Spain;The Islands;Lanzarote;Dry;Cork;13.50%;Light;Oaked;['50% Listán Negro', '50% Syrah / Shiraz']
56;Envínate, Taganan Parcela Margalagua, Tenerife, Spain 2020;Envínate;Taganan Parcela Margalagua;2020;Still;Red;Spain;The Islands;Tenerife;Dry;Cork;12.00%;Light;Lightly Oaked;['Listán Negro', 'Vijariego', 'Negramoll']
