;Title;Producer;Vintage;Wine Type;Colour;Country;Region;Appellation;Sweetness;Alcohol;Oak;Grapes;Brand;Closure;Body
929;Tenute Sella, San Sebastiano allo Zoppo, Lessona, Piedmont, Italy 2012;Tenute Sella;2012;Still;Red;Italy;Piedmont;Lessona;Dry;13.50%;Oaked;['85% Nebbiolo', '15% Vespolina'];San Sebastiano allo Zoppo;;
930;Tenute Sella, I Porfidi, Bramaterra, Piedmont, Italy, 2011;Tenute Sella;2011;Still;Red;Italy;Piedmont;Bramaterra;Dry;13.00%;Oaked;['15% Croatina', '75% Nebbiolo', '10% Vespolina'];I Porfidi;Cork;Full
931;La Palazzina, Riserva, Bramaterra, Piedmont, Italy, 2015;La Palazzina;2015;Still;Red;Italy;Piedmont;Bramaterra;Dry;13.00%;Oaked;['10% Croatina', '80% Nebbiolo', '5% Vespolina'];Riserva;Cork;Full
932;Tenuta di Guardasole, Boca, Piedmont, Italy, 2018;Tenuta di Guardasole;2018;Still;Red;Italy;Piedmont;Boca;Dry;14.00%;Oaked;['80% Nebbiolo', 'Vespolina'];;Cork;Full
933;Massimo Clerico, Lessona, Piedmont, Italy, 2017;Massimo Clerico;2017;Still;Red;Italy;Piedmont;Lessona;Dry;13.50%;Oaked;['95% Nebbiolo', '5% Vespolina'];;Cork;Full
934;Antoniotti, Bramaterra, Piedmont, Italy, 2018;Antoniotti;2018;Still;Red;Italy;Piedmont;Bramaterra;Dry;14.00%;Oaked;['Croatina', 'Nebbiolo', 'Vespolina'];;Cork;Full
935;Vegis, Riserva, Gattinara, Piedmont, Italy, 2015;Vegis;2015;Still;Red;Italy;Piedmont;Gattinara;Dry;13.50%;Oaked;['Nebbiolo'];Riserva;Cork;Full
936;Antoniolo, Riserva, Gattinara, Piedmont, Italy, 2017;Antoniolo;2017;Still;Red;Italy;Piedmont;Gattinara;Dry;14.00%;Oaked;['Nebbiolo'];Riserva;Cork;Full
937;Antoniolo, San Francesco Riserva, Gattinara, Piedmont, 2017;Antoniolo;2017;Still;Red;Italy;Piedmont;;;;;;San Francesco Riserva;;
938;Cantina del Signore, Borgofranco Riserva, Gattinara, 2017;Cantina del Signore;2017;Still;Red;Italy;Piedmont;Gattinara;Dry;14.00%;Oaked;['Nebbiolo'];Borgofranco Riserva;Cork;Full
939;Travaglini, Tre Vigne, Gattinara, Piedmont, Italy, 2017;Travaglini;2017;Still;Red;Italy;Piedmont;Gattinara;Dry;13.50%;Oaked;['Nebbiolo'];Tre Vigne;Cork;Full
940;Travaglini, Riserva, Gattinara, Piedmont, Italy, 2017;Travaglini;2017;Still;Red;Italy;Piedmont;Gattinara;Dry;13.50%;Oaked;['Nebbiolo'];Riserva;Cork;Full
941;La Cappuccina, Opera 32, Colline Novaresi, Piedmont, 2017;La Cappuccina;2017;Still;Red;Italy;Piedmont;Colline Novaresi;Dry;14.00%;Oaked;['Nebbiolo'];Opera 32;Cork;Full
942;Renato Ratti, Rocche dell'Annunziata, Barolo, La Morra, Piedmont 2018;Renato Ratti;2018;Still;Red;Italy;Piedmont;Barolo;Dry;;Oaked;['100% Nebbiolo'];Rocche dell'Annunziata;Cork;Full
943;Renato Ratti, Conca, La Morra, Barolo, Piedmont, 2018;Renato Ratti;2018;Still;Red;Italy;Piedmont;Barolo;Dry;14.50%;Oaked;['Nebbiolo'];Conca;Cork;Full
944;Renato Ratti, Marcenasco, La Morra, Barolo, Piedmont, 2018;Renato Ratti;2018;Still;Red;Italy;Piedmont;Barolo;Dry;14.50%;Oaked;['Nebbiolo'];Marcenasco;Cork;Full
945;Renato Ratti, Reggimento Nebbiolo, Langhe, Piedmont, 2018;Renato Ratti;2018;Still;Red;Italy;Piedmont;Langhe;Dry;;;['100% Barbera'];Reggimento Nebbiolo;Cork;Medium
946;Negro Giuseppe, Gallina, Barbaresco, Neive, Piedmont, 2019;Negro Giuseppe;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Gallina;Natural Cork;Full
947;Alessandro Rivetto, Montersino, Barbaresco, Treiso, 2019;Alessandro Rivetto;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Montersino;Natural Cork;Full
948;Massolino, Albesani, Barbaresco, Neive, Piedmont, 2019;Massolino;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.00%;Oaked;['Nebbiolo'];Albesani;Natural Cork;Full
949;Bera, Serraboella, Barbaresco, Neive, Piedmont, Italy, 2019;Bera;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Serraboella;Natural Cork;Full
950;Carlo Giacosa, Asili, Barbaresco, Barbaresco, Piedmont, 2019;Carlo Giacosa;2019;Still;Red;Italy;Piedmont;;;;;;Asili;;
951;Bruno Rocca, Rabajà, Barbaresco, Barbaresco, Piedmont, 2019;Bruno Rocca;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.00%;Oaked;['Nebbiolo'];Rabajà;Natural Cork;Full
952;Giuseppe Cortese, Rabajà, Barbaresco, Barbaresco, 2019;Giuseppe Cortese;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Rabajà;Natural Cork;Full
953;Rizzi, Pajorè, Barbaresco, Treiso, Piedmont, Italy, 2019;Rizzi;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Lightly Oaked;['Nebbiolo'];Pajorè;Natural Cork;Full
954;Albino Rocca, Cottà, Barbaresco, Neive, Piedmont, 2019;Albino Rocca;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Cottà;Natural Cork;Full
955;Cascina Luisin, Rabajà, Barbaresco, Barbaresco, 2019;Cascina Luisin;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Rabajà;Natural Cork;Full
956;Cascina Morassino, Ovello, Barbaresco, Barbaresco, 2019;Cascina Morassino;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Ovello;Natural Cork;Full
957;Luigi Giordano, Asili, Barbaresco, Barbaresco, 2019;Luigi Giordano;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Asili;Natural Cork;Full
958;Montaribaldi, Sorì Montaribaldi, Barbaresco, Barbaresco 2017;Montaribaldi;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.00%;Oaked;['Nebbiolo'];Sorì Montaribaldi;Natural Cork;Full
959;Cascina Luisin, Asili, Barbaresco, Barbaresco, 2019;Cascina Luisin;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Asili;Natural Cork;Full
960;Carlo Giacosa, Montefico, Barbaresco, Barbaresco, 2019;Carlo Giacosa;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Montefico;Natural Cork;Full
961;Carlo Giacosa, Ovello, Barbaresco, Barbaresco, 2019;Carlo Giacosa;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Ovello;Natural Cork;Full
962;Musso, Rio Sordo, Barbaresco, Barbaresco, Piedmont, 2019;Musso;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Rio Sordo;Natural Cork;Full
963;Poderi Colla, Roncaglie, Barbaresco, Barbaresco, 2019;Poderi Colla;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.00%;Oaked;['Nebbiolo'];Roncaglie;Natural Cork;Full
964;Albino Rocca, Ronchi, Barbaresco, Barbaresco, Piedmont, 2019;Albino Rocca;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Ronchi;Natural Cork;Full
965;Castello di Neive, Albesani Vigna Santo Stefano, Barbaresco 2019;Castello di Neive;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Albesani Vigna Santo Stefano;Natural Cork;Full
966;Antichi Poderi dei Gallina, Gallina, Barbaresco, Neive, 2019;Antichi Poderi dei Gallina;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Gallina;Natural Cork;Full
967;Fratelli Giacosa, Basarin, Barbaresco, Neive, Piedmont, 2019;Fratelli Giacosa;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Basarin;Natural Cork;Full
968;Mura Mura, Faset, Barbaresco, Neive, Piedmont, Italy, 2019;Mura Mura;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Faset;Natural Cork;Full
969;Paitin, Serraboella, Barbaresco, Neive, Piedmont, 2019;Paitin;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.00%;Oaked;['Nebbiolo'];Serraboella;Natural Cork;Full
970;Pietro Rinaldi, San Cristoforo, Barbaresco, Neive, 2019;Pietro Rinaldi;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];San Cristoforo;Natural Cork;Full
971;Bel Colle, Pajorè, Barbaresco, Treiso, Piedmont, Italy, 2019;Bel Colle;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Pajorè;Natural Cork;Full
972;Massimo Rattalino, Quarantadue, Barbaresco, Piedmont, 2019;Massimo Rattalino;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.00%;Oaked;['Nebbiolo'];Quarantadue;Natural Cork;Full
